ID Name Type Attack Health  Description
1 Fireball  Spell 5 0 Casts-a-fire-projectile
2 Lightning-Bolt Spell 8 0 Strikes-the-target-with-a-bolt-of-lightning
3 Healing-Potion Potion 0 10 Restores-health-points
4 Sword Weapon 10 0 Deals-a-slashing-attack
5 Shield Armor 0 5 Provides-additional-defense
6 Poison-Dagger Weapon 5 0 Inflicts-poison-damage-on-the-target
7 Fire-Shield Armor 0 8 Grants-fire-resistance
8 Ice-Barrier Armor 0 12 Creates-a-barrier-of-ice-for-protection
9 Holy-Light Spell 12 0 Radiates-healing-energy-to-all-allies
10 Hammer Weapon 15 0 Delivers-a-powerful-crushing-blow
11 Stealth-Cloak Armor 0 6 Enables-stealth-and-increases-evasion
12 Acid-Spray Spell 7 0 Sprays-acid-to-corrode-the-enemy's-defenses
13 Life-Drain Spell 3 0 Drains-life-energy-from-the-target
14 Bow Weapon 8 0 Launches-arrows-for-ranged-attacks
15 Potion-of-Strength Potion 0 5 Temporarily-increases-attack-power
16 Frost-Nova Spell 6 0 Freezes-nearby-enemies-in-place
17 Chainmail-Armor Armor 0 10 Provides-sturdy-protection
18 Poisonous-Blade Weapon 6 0 Applies-poison-damage-over-time
19 Staff-of-Wisdom Weapon 7 0 Unleashes-magical-knowledge-in-combat
20 Fireball Spell 5 0 Casts-a-fiery-projectile
21 Lightning-Bolt Spell 8 0 Strikes-the-target-with-a-bolt-of-lightning
22 Healing-Potion Potion 0 10 Restores-health-points
23 Sword Weapon 10 0 Deals-a-slashing-attack
24 Shield Armor 0 5 Provides-additional-defense
25 Poison-Dagger Weapon 5 0 Inflicts-poison-damage-on-the-target
26 Fire-Shield Armor 0 8 Grants-fire-resistance
27 Ice-Barrier Armor 0 12 Creates-a-barrier-of-ice-for-protection
28 Holy-Light Spell 12 0 Radiates-healing-energy-to-all-allies
29 Hammer Weapon 15 0 Delivers-a-powerful-crushing-blow
30 Stealth-Cloak Armor 0 6 Enables-stealth-and-increases-evasion
31 Acid-Spray Spell 7 0 Sprays-acid-to-corrode-the-enemy's-defenses
32 Life-Drain Spell 3 0 Drains-life-energy-from-the-target
33 Bow Weapon 8 0 Launches-arrows-for-ranged-attacks
34 Potion-of-Strength Potion 0 5 Temporarily-increases-attack-power
35 Frost-Nova Spell 6 0 Freezes-nearby-enemies-in-place
36 Chainmail-Armor Armor 0 10 Provides-sturdy-protection
37 Poisonous-Blade Weapon 6 0 Applies-poison-damage-over-time
38 Staff-of-Wisdom Weapon 7 0 Unleashes-magical-knowledge-in-combat
39 Fireball Spell 5 0 Casts-a-fiery-projectile
40 Lightning-Bolt Spell 8 0 Strikes-the-target-with-a-bolt-of-lightning
41 Healing-Potion Potion 0 10 Restores-health-points
42 Sword Weapon 10 0 Deals-a-slashing-attack
43 Shield Armor 0 5 Provides-additional-defense
44 Poison-Dagger Weapon 5 0 Inflicts-poison-damage-on-the-target
45 Fire-Shield Armor 0 8 Grants-fire-resistance
46 Ice-Barrier Armor 0 12 Creates-a-barrier-of-ice-for-protection
47 Holy-Light Spell 12 0 Radiates-healing-energy-to-all-allies
48 Hammer Weapon 15 0 Delivers-a-powerful-crushing-blow
49 Stealth-Cloak Armor 0 6 Enables-stealth-and-increases-evasion
50 Acid-Spray Spell 7 0 Sprays-acid-to-corrode-the-enemy's-defenses
